Question,Type,Answer,URL
"SOLID, KISS, DRY, YAGNI",Best practices,"• S – Принцип единственной ответственности (Single Responsibility Principle) каждый класс должен выполнять только те цели, для которых был задуман;
• O – Принцип открытости/закрытости (Open‐Closed Principle) класс открыт для расширения и закрыт для модифицирования;
• L – Принцип подстановки Барбары Лисков (Liskov Substitution Principle) объект дочернего класса должен полностью заменять объект родительского класса;
• I – Принцип разделения интерфейсов (Interface Segregation Principle) лучше несколько маленьких классов, чем один большой;
• D – Принцип инверсии зависимостей (Dependency Inversion Principle) должны быть зависимости на классах, а не классы на зависимости.

keep it simple stupid (простые функции), do not repeat yourself, you are not gonna need it (говно удалять)",
Паттерны проектирования,Best practices,"Паттерны проектирования описывают типичные способы решения часто встречающихся проблем при проектировании программ.

Три группы: поведенческие, порождающие и структурные.

Proxy (Заместитель) — это структурный паттерн проектирования, который позволяет подставлять вместо реальных объектов специальные объекты-заменители. Эти объекты перехватывают вызовы к оригинальному объекту, позволяя сделать что-то до или после передачи вызова оригиналу.

Прототип — это порождающий паттерн проектирования, который позволяет копировать объекты, не вдаваясь в подробности их реализации.",https://refactoring.guru/ru/design-patterns/python
Зачем нужны БД,Databases,"Потому что они работают быстрее, чем просто считывание файла БД работает быстрее? потому что МАТЕША, потому что оптимизировано",
"Какие базы данных NoSQL знаешь? Плюсы и минусы? ",Databases,"Нереляционная база данных (NoSQL) — хранит данные без четких связей друг с другом и четкой структуры. Вместо структурированных таблиц внутри базы находится множество разнородных документов, в том числе изображения, видео и даже публикации в социальных сетях. В отличие от реляционных БД, NoSQL базы данных не поддерживают запросы SQL.

MongoDB, Redis
[+] Соответствие ACID
[+] динамическая схема
[+] горизонтально расширяемые
[+] document, key-value, graph, or wide-column stores",
"Какие базы данных SQL знаешь? Плюсы и минусы? ",Databases,"Реляционная база данных (SQL) — база, где данные хранятся в формате таблиц, они строго структурированы и связаны друг с другом. В таблице есть строки и столбцы, каждая строка представляет отдельную запись, а столбец — поле с назначенным ей типом данных. В каждой ячейке информация записана по шаблону.

PostgreSQL, MySQL
[+] Гибкость
[+] predefined схема 
[+] вертикально расширяемые
[+] table-based",
ACID,Databases,"В информатике акроним ACID описывает требования к транзакционной системе, обеспечивающие наиболее надёжную и предсказуемую её работу.

1. https://habr.com/ru/post/555920/#atomicity каждая транзакция будет выполнена полностью или не будет выполнена совсем
2. https://habr.com/ru/post/555920/#consistency каждая успешная транзакция по определению фиксирует только допустимые результаты
3. https://habr.com/ru/post/555920/#isolation одна тразакция не может вклиниться в другую
4. https://habr.com/ru/post/555920/#durability если что-то зафиксировано в системе, то это не изменить уже",
Какие различия между MySQL & PostgreSQL?,Databases,"PostgreSQL быстрая open-source СУБД, а MySQL более прост в настройке.

MySQL: 
- чисто реляционная
- single-processing
- data types: numeric, date/time, char, spatial, json
- indexes supported: primarily b-tree, r-tree, hash and indexes for certain data types 

PostgreSQL: 
- объектно-реляционная (table inheritance, function overloading, better handling of concurrency)
- multiprocessing
- data types: += boolean, enumerated, geometric, network address, xml, hstore, arrays, ranges, composite
- B-tree, hash, GiST, SP-GiST, GIN, and BRIN

Улучшенная конкурентность в Postgres засчет MVCC, который поддерживает параллельный доступ",
CAP theorem,Databases,"Теорема CAP (известная также как теорема Брюера) — эвристическое утверждение о том, что в любой реализации https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D0%BF%D1%80%D0%B5%D0%B4%D0%B5%D0%BB%D1%91%D0%BD%D0%BD%D1%8B%D0%B5_%D0%B2%D1%8B%D1%87%D0%B8%D1%81%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F возможно обеспечить не более двух из трёх следующих свойств:

• согласованность данных (англ. consistency) — во всех вычислительных узлах в один момент времени данные не противоречат друг другу;
• доступность (англ. availability) — любой запрос к распределённой системе завершается корректным откликом, однако без гарантии, что ответы всех узлов системы совпадают;
• устойчивость к разделению (англ. partition tolerance) — расщепление распределённой системы на несколько изолированных секций не приводит к некорректности отклика от каждой из секций.",
Какие есть типы связей?,Databases,"Есть три типа связей: 
— 1 к 1: данные о сотрудниках дочерних отделов (почти всегда такие таблицы объединяются)
— 1 ко многим: у одного клиента может быть несколько телефонов, но в тоже время мы можем быть уверены в том, что один конкретный номер может быть только у одного клиента
— много ко многим: первое — одну книгу может написать несколько авторов, второе — автор может написать несколько книг.",
"Primary key, Foreign key",Databases,"PK — однозначно идентифицирует какую-то строку в таблице.
FK — для связи таблиц с друг другом

Оба могут состоять более чем из одного столбца.",
